Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -0.012       -0.012        0.000     0.0
0.0010           -0.009       -0.012        0.003     0.2
0.0020           -0.005       -0.012        0.007     0.5
0.0030           -0.002       -0.012        0.010     0.7
0.0040            0.003       -0.012        0.015     1.1
0.0050            0.007       -0.012        0.019     1.4
0.0060            0.011       -0.012        0.022     1.6
0.0070            0.013       -0.012        0.025     1.8
0.0080            0.016       -0.012        0.028     2.0
0.0090            0.020       -0.012        0.031     2.2
0.0100            0.022       -0.014        0.036     2.6
0.0110            0.026       -0.014        0.039     2.8
0.0120            0.029       -0.013        0.042     3.0
0.0130            0.033       -0.013        0.046     3.3
0.0140            0.037       -0.013        0.050     3.6
0.0150            0.042       -0.013        0.055     3.9
0.0160            0.048       -0.010        0.058     4.2
0.0170            0.051       -0.012        0.062     4.5
0.0180            0.053       -0.011        0.064     4.6
0.0190            0.055       -0.011        0.066     4.7
0.0200            0.057       -0.010        0.067     4.8
0.0210            0.061       -0.010        0.071     5.1
0.0220            0.063       -0.009        0.072     5.1
0.0230            0.066       -0.008        0.074     5.3
0.0240            0.066       -0.007        0.074     5.3
0.0250            0.068       -0.007        0.075     5.4
0.0260            0.073       -0.006        0.079     5.7
0.0270            0.077       -0.005        0.082     5.9
0.0280            0.082       -0.004        0.086     6.1
0.0290            0.083       -0.003        0.086     6.2
0.0300            0.087       -0.002        0.089     6.4
0.0310            0.095       -0.001        0.095     6.8
0.0320            0.101        0.003        0.098     7.0
0.0330            0.100        0.002        0.098     7.0
0.0340            0.100        0.003        0.097     6.9
0.0350            0.103        0.005        0.098     7.0
0.0360            0.111        0.006        0.105     7.5
0.0370            0.114        0.008        0.106     7.6
0.0380            0.115        0.010        0.106     7.6
0.0390            0.119        0.011        0.108     7.7
0.0400            0.125        0.013        0.112     8.0
0.0410            0.129        0.015        0.114     8.2
0.0420            0.130        0.017        0.113     8.1
0.0430            0.132        0.019        0.114     8.1
0.0440            0.132        0.021        0.112     8.0
0.0450            0.142        0.023        0.119     8.5
0.0460            0.152        0.025        0.127     9.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -0.012       -0.012        0.000     0.0
0.0010           -0.008       -0.012        0.004     0.3
0.0020           -0.006       -0.012        0.006     0.5
0.0030           -0.002       -0.012        0.010     0.7
0.0040           -0.000       -0.012        0.011     0.8
0.0050            0.004       -0.012        0.016     1.1
0.0060            0.008       -0.012        0.020     1.4
0.0070            0.012       -0.012        0.024     1.7
0.0080            0.014       -0.012        0.026     1.9
0.0090            0.018       -0.012        0.029     2.1
0.0100            0.018       -0.014        0.032     2.3
0.0110            0.021       -0.014        0.035     2.5
0.0120            0.022       -0.013        0.036     2.6
0.0130            0.026       -0.013        0.039     2.8
0.0140            0.033       -0.013        0.046     3.3
0.0150            0.035       -0.013        0.048     3.5
0.0160            0.038       -0.012        0.051     3.6
0.0170            0.040       -0.012        0.052     3.8
0.0180            0.045       -0.012        0.056     4.0
0.0190            0.047       -0.011        0.059     4.2
0.0200            0.054       -0.011        0.065     4.6
0.0210            0.056       -0.010        0.066     4.8
0.0220            0.058       -0.010        0.068     4.8
0.0230            0.065       -0.009        0.074     5.3
0.0240            0.069       -0.008        0.077     5.5
0.0250            0.071       -0.008        0.079     5.6
0.0260            0.074       -0.007        0.080     5.8
0.0270            0.079       -0.006        0.085     6.1
0.0280            0.085       -0.005        0.090     6.5
0.0290            0.089       -0.004        0.093     6.6
0.0300            0.097       -0.003        0.100     7.2
0.0310            0.097       -0.002        0.098     7.0
0.0320            0.099       -0.000        0.100     7.1
0.0330            0.102        0.001        0.101     7.2
0.0340            0.103        0.002        0.101     7.2
0.0350            0.108        0.004        0.104     7.4
0.0360            0.117        0.005        0.112     8.0
0.0370            0.120        0.007        0.113     8.1
0.0380            0.123        0.009        0.114     8.2
0.0390            0.128        0.010        0.117     8.4
0.0400            0.134        0.012        0.121     8.7
0.0410            0.134        0.014        0.119     8.6
0.0420            0.140        0.016        0.123     8.8
0.0430            0.142        0.018        0.124     8.9
0.0440            0.145        0.021        0.124     8.9
0.0450            0.150        0.023        0.127     9.1
0.0460            0.152        0.025        0.127     9.1
0.0470            0.153        0.027        0.126     9.0
0.0480            0.156        0.030        0.126     9.0
0.0490            0.160        0.032        0.127     9.1
0.0500            0.164        0.035        0.129     9.3
0.0510            0.165        0.037        0.128     9.2
0.0520            0.170        0.040        0.130     9.3
0.0530            0.169        0.042        0.127     9.1
0.0540            0.173        0.045        0.127     9.1
0.0550            0.178        0.048        0.130     9.3
0.0560            0.181        0.050        0.131     9.4
0.0570            0.188        0.053        0.135     9.7
0.0580            0.189        0.056        0.133     9.5
0.0590            0.192        0.059        0.134     9.6
0.0600            0.197        0.061        0.135     9.7
0.0610            0.199        0.064        0.134     9.6
0.0620            0.206        0.067        0.139     9.9
0.0630            0.208        0.070        0.138     9.9
0.0640            0.214        0.073        0.142    10.1
0.0650            0.220        0.075        0.144    10.3
0.0660            0.227        0.078        0.148    10.6
0.0670            0.230        0.082        0.149    10.7
0.0680            0.238        0.085        0.153    11.0
0.0690            0.243        0.088        0.155    11.1
0.0700            0.247        0.091        0.156    11.2
0.0710            0.252        0.094        0.158    11.3
0.0720            0.257        0.098        0.160    11.4
0.0730            0.263        0.101        0.162    11.6
0.0740            0.264        0.105        0.160    11.5
0.0750            0.269        0.108        0.161    11.5
0.0760            0.276        0.111        0.165    11.8
0.0770            0.281        0.114        0.166    11.9
0.0780            0.286        0.118        0.168    12.0
0.0790            0.293        0.121        0.172    12.3
0.0800            0.291        0.124        0.167    12.0
0.0810            0.299        0.128        0.171    12.3
0.0820            0.298        0.131        0.167    12.0
0.0830            0.306        0.134        0.172    12.3
0.0840            0.312        0.138        0.174    12.4
0.0850            0.312        0.141        0.171    12.3
0.0860            0.315        0.145        0.171    12.2
0.0870            0.316        0.148        0.168    12.0
0.0880            0.320        0.151        0.169    12.1
0.0890            0.318        0.154        0.164    11.7
0.0900            0.320        0.158        0.162    11.6
0.0910            0.322        0.161        0.161    11.5
0.0920            0.325        0.164        0.161    11.5
0.0930            0.328        0.167        0.161    11.6
0.0940            0.331        0.170        0.161    11.5
0.0950            0.334        0.173        0.160    11.5
0.0960            0.339        0.176        0.163    11.7
0.0970            0.340        0.179        0.161    11.5
0.0980            0.345        0.182        0.163    11.7
0.0990            0.347        0.185        0.162    11.6
0.1000            0.351        0.188        0.164    11.7
0.1010            0.354        0.190        0.164    11.7
0.1020            0.359        0.193        0.166    11.9
0.1030            0.363        0.195        0.168    12.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -0.012       -0.012        0.000     0.0
0.0010           -0.008       -0.012        0.004     0.3
0.0020           -0.005       -0.012        0.007     0.5
0.0030           -0.001       -0.012        0.010     0.7
0.0040            0.002       -0.012        0.014     1.0
0.0050            0.004       -0.012        0.016     1.2
0.0060            0.008       -0.012        0.019     1.4
0.0070            0.009       -0.012        0.021     1.5
0.0080            0.014       -0.012        0.025     1.8
0.0090            0.018       -0.011        0.030     2.1
0.0100            0.017       -0.014        0.030     2.2
0.0110            0.018       -0.014        0.032     2.3
0.0120            0.019       -0.013        0.032     2.3
0.0130            0.021       -0.013        0.035     2.5
0.0140            0.026       -0.013        0.039     2.8
0.0150            0.029       -0.013        0.042     3.0
0.0160            0.030       -0.013        0.043     3.1
0.0170            0.033       -0.012        0.045     3.2
0.0180            0.036       -0.012        0.047     3.4
0.0190            0.040       -0.012        0.051     3.7
0.0200            0.043       -0.011        0.054     3.9
0.0210            0.043       -0.011        0.054     3.9
0.0220            0.047       -0.010        0.057     4.1
