                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 22:47:04       14.894293       8.3459
BFGSLineSearch:    1[  1] 22:47:04        5.372043       1.8596
BFGSLineSearch:    2[  2] 22:47:04        1.779235       3.8814
BFGSLineSearch:    3[  3] 22:47:04        0.344974       0.5983
BFGSLineSearch:    4[  4] 22:47:04        0.107853       0.2303
BFGSLineSearch:    5[  5] 22:47:04        0.036441       0.1090
BFGSLineSearch:    6[  6] 22:47:04        0.002594       0.0628
BFGSLineSearch:    7[  7] 22:47:04       -0.007350       0.0527
BFGSLineSearch:    8[  8] 22:47:04       -0.011832       0.0312
                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 23:24:06       14.894293       8.3459
BFGSLineSearch:    1[  1] 23:24:06        5.372043       1.8596
BFGSLineSearch:    2[  2] 23:24:06        1.779235       3.8814
BFGSLineSearch:    3[  3] 23:24:06        0.344974       0.5983
BFGSLineSearch:    4[  4] 23:24:06        0.107853       0.2303
BFGSLineSearch:    5[  5] 23:24:06        0.036441       0.1090
BFGSLineSearch:    6[  6] 23:24:06        0.002594       0.0628
BFGSLineSearch:    7[  7] 23:24:06       -0.007350       0.0527
BFGSLineSearch:    8[  8] 23:24:06       -0.011832       0.0312
